50;16;5;13
51;15;5;12
52;16;5;11
53;18;5;11
54;18;5;14
55;19;5;13
56;19;6;15
57;24;6;16
58;27;7;17
59;23;7;15
60;24;6;16
61;24;7;17
62;27;7;19
63;30;7;19
64;33;7;20
65;32;8;19
66;33;8;21
67;41;9;21
68;38;9;25
69;36;9;22
70;41;9;22
71;42;9;21
72;40;10;24
73;48;10;25
74;53;10;26
75;53;11;26
76;51;11;26
77;58;12;26
78;60;12;29
79;51;12;31
80;59;13;28
81;67;14;31
82;68;14;35
83;72;14;44
84;61;14;31
85;76;14;34
86;68;15;36
87;72;15;34
88;82;16;33
89;78;15;39
90;82;16;40
91;97;15;39
92;95;18;40
93;103;18;47
94;103;18;41
95;87;20;43
96;112;19;41
97;105;20;48
98;106;20;51
99;109;20;50
